arquivo,linha_baseline,termos,classificacao,tratamento,trecho_original
docs/GQM_MAPA_METRICAS.md,109,sujeita à confirmação,documentação corrente desatualizada,Esclarecida confirmação posterior e mantida distinção de aprovação institucional.,"PO1 liga-se a `code_config_cochange`; PO2 a `config_magnitude` e suas distribuições; PO3 às fichas, eventos e aos quatro indicadores `static_mlflow_*`. As demais métricas permanecem associadas às perguntas GQM originais sem resposta. O [parecer técnico](ALINHAMENTO_DM027.md) fundamenta essa delimitação e identifica identificação da revisão preliminar sujeita à confirmação, sem atribuição de aprovação institucional."
docs/INSPECAO_MANUAL_AMOSTRA.md,5,O fechamento e a autoria,ambígua,Cabeçalho passa a apontar para o fechamento de 15/09; histórico preservado.,"A cadeia registrada está identificada em [rodada de referência](evidencias/rodada_referencia_1_2_0.md). Mineração, métricas, índice, seleção e relatório já foram executados. As passagens abaixo sobre prévia e registro futuro são históricas. O fechamento e a autoria das novas análises estão em `RELATORIO_FECHAMENTO_DM027.md`."
docs/INSPECAO_MANUAL_AMOSTRA.md,10,piloto,histórico legítimo,Histórico preservado sob cabeçalho temporal e link para fechamento aceito.,"A amostra piloto reúne Ultralytics, PyMC Marketing e Anomalib. Os três apresentam"
docs/INSPECAO_MANUAL_AMOSTRA.md,13,pendentes,histórico legítimo,Histórico preservado sob cabeçalho temporal e link para fechamento aceito.,alinhamento acadêmico permanecem pendentes. Os critérios estão no
docs/INSPECAO_MANUAL_AMOSTRA.md,134,piloto,histórico legítimo,Histórico preservado sob cabeçalho temporal e link para fechamento aceito.,"O primeiro piloto Ultralytics usou o protocolo 2.0.0. Seus runs de congelamento,"
docs/INSPECAO_MANUAL_AMOSTRA.md,179,pendentes,histórico legítimo,Histórico preservado sob cabeçalho temporal e link para fechamento aceito.,"erros ou consultas pendentes. A seleção qualitativa produziu 45 eventos,"
docs/INSPECAO_MANUAL_AMOSTRA.md,193,pendente,histórico legítimo,Histórico preservado sob cabeçalho temporal e link para fechamento aceito.,"pendente, por isso o recibo não exibe a concordância."
docs/INTEGRACAO_FINALIZADOR_INCREMENTO_05.md,41,pendentes,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",pendentes em aprovados; alterações locais no verificador continuam reprovando G13.
docs/INTEGRACAO_FINALIZADOR_INCREMENTO_05.md,48,scientific_result_accepted; pendentes,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",`scientific_result_accepted=false` e G14/G15 pendentes.
docs/INTEGRACAO_FINALIZADOR_INCREMENTO_05.md,131,pendentes,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",recusou sua condição de worktree dirty e manteve os controles humanos pendentes.
docs/LIMITACOES_E_VALIDADE.md,69,piloto,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",O plano qualitativo foi definido depois do piloto exploratório do Ultralytics.
docs/MANUSCRITO_DM027.md,25,devem ser assumidas,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,A avaliação atual mascarou predições por unidade antes da emissão dos rótulos. O mascaramento é limitado pela conservação da ordem estratificada e pelo conhecimento anterior do método. As interpretações foram preparadas nesta rodada e devem ser assumidas pelo pesquisador por um ato final explícito; esse ato não transforma a classificação em replicação independente.
docs/REPROCESSAMENTO_E_VERIFICACAO_INCREMENTO_03.md,117,scientific_result_accepted,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",não equivale a `scientific_result_accepted=true`. Este último permanece falso.
docs/REPROCESSAMENTO_E_VERIFICACAO_INCREMENTO_03.md,138,pendentes,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",pendentes. O Make representa a saída 1 da CLI como falha da receita.
docs/VERIFICACAO_EMPIRICA_INCREMENTO_02.md,119,scientific_result_accepted,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",fora desse escopo. `scientific_result_accepted` permanece `false`. Este incremento
docs/VERIFICACAO_EMPIRICA_INCREMENTO_02.md,126,pendentes,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",da amostra podem ser conferidas mesmo enquanto os registros humanos estão pendentes.
docs/evidencias/alinhamento_academico_dm027.json,33,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/avaliacao_taxonomia_dm027.json,5,pending,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.","""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/baseline_check.txt,20,pilot_metrics,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",tests/test_pilot_metrics.py ..................                           [ 33%]
docs/evidencias/baseline_check.txt,21,pilot_pipeline,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",tests/test_pilot_pipeline.py .....                                       [ 38%]
docs/evidencias/baseline_check.txt,43,pilot,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.","src/mlops_traceability/pilot.py                          215     16    93%   119, 125, 127, 130-132, 134, 164, 217, 234, 238, 244, 271, 278, 344-348"
docs/evidencias/casos_dm027.json,23,Piloto,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""selection_rationale"": ""Piloto: callbacks concentrados de parâmetros, métricas e artefatos."","
docs/evidencias/casos_dm027.json,53,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/casos_dm027.json,109,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/casos_dm027.json,164,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,19,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,code_config_cochange,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,0.0761002444987775,observed,,structural,,reachable eligible history,249,3272,proportion,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,32,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,52,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,config_magnitude,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,69.3076923076923,observed,,structural,,reachable eligible history,20723,299,keys/config_commit,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,65,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,85,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,data_code_ratio_original,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,,not_available,Dimensão D não validada para dados MLflow; DATA_META detecta DVC.,structural,dimension_not_validated,reachable eligible history,,,ratio,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,98,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,118,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,data_code_cochange,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,,not_available,Dimensão D não validada para dados MLflow; DATA_META detecta DVC.,structural,dimension_not_validated,reachable eligible history,,,proportion,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,131,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,151,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,cace_index,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,,not_available,Dimensão D não validada para dados MLflow; DATA_META detecta DVC.,structural,dimension_not_validated,reachable eligible history,,,proportion,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,164,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,184,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,provenance_coverage,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,,not_available,No runs/registry source ingested; tree scan is not a runtime census.,direct,not_collected,public runtime sources not collected,,,proportion,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,197,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,217,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,env_versioning_rate,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,,not_available,No runs/registry source ingested; tree scan is not a runtime census.,direct,not_collected,public runtime sources not collected,,,proportion,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,230,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,250,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,experiment_redundancy,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,,not_available,No runs/registry source ingested; tree scan is not a runtime census.,direct,not_collected,public runtime sources not collected,,,runs/promoted_version,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,263,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,283,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,static_mlflow_param_calls,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,1.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,1,1,syntactic_call_sites_at_sha,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,296,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,316,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,static_mlflow_metric_calls,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,1.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,1,1,syntactic_call_sites_at_sha,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,329,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,349,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,static_mlflow_artifact_calls,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,2.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,2,1,syntactic_call_sites_at_sha,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,362,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,382,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""ultralytics/ultralytics,static_mlflow_model_calls,fa34184a5080c81fff453670394e13303ac781b2,2022-09-11T16:39:46+00:00,2026-08-30T17:38:24+00:00,0.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,0,1,syntactic_call_sites_at_sha,60,2.1.0,1.2.0,20260911T204006043225Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,395,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,415,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,code_config_cochange,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,0.015927189988623434,observed,,structural,,reachable eligible history,14,879,proportion,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,428,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,448,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,config_magnitude,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,29.3125,observed,,structural,,reachable eligible history,469,16,keys/config_commit,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,461,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,481,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,data_code_ratio_original,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,,not_available,Dimensão D não validada para dados MLflow; DATA_META detecta DVC.,structural,dimension_not_validated,reachable eligible history,,,ratio,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,494,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
